Date,Scheme Name,Store Name,Item Name,Member Account Code,Invoice,Sales Qty,Sales Amt
5/23/2021,MEMBER,TIFFANY - TTP,SS 1837 INTLK SM PDT 16IN-22992139,60084746,000000P105000000053,1,11464000.00
5/23/2021,PLATINUM,TIFFANY - TTP,18R HW BALL 10MM HOOK ER-38172816,24001530,000000P105000000054,1,34300000.00
5/23/2021,PLATINUM,TIFFANY - TTP,18R HWBALL12 75MMPDT18 20-38096818,24001530,000000P105000000054,1,55060000.00
5/23/2021,PLATINUM,TIFFANY - TTP,18RDIACNT MDFLEURDELISKEY-60764379,24001530,000000P105000000054,1,48742000.00
5/23/2021,TEMP,TIFFANY - TTP,SS 1837 INTLK SM PDT 18IN-30319575,PV000303,000000P105000000055,1,11464000.00
5/24/2021,PLATINUM,TIFFANY - TTP,18R DI T SMILE LG PDT1618-63104981,60067686,000000P105000000056,1,126367000.00
5/24/2021,PLATINUM,TIFFANY - TTP,18R T WIRE BAR ER-62271884,60067686,000000P105000000056,1,31592000.00
5/24/2021,PLATINUM,TIFFANY - TTP,18R MN LVG HEART PDT16IN-34614555,60084745,000000P105000000057,1,19858000.00
5/25/2021,PLATINUM,TIFFANY - TTP,18R HW MEDIUM LINK BLT SM-39991586,39000072,000000P105000000058,1,109217000.00
5/25/2021,PLATINUM,TIFFANY - TTP,ST BLK T SQR BLT LG-36618159,39000072,000000P105000000058,1,43326000.00
5/26/2021,BOD,TIFFANY - TTP,18R T SMILE SM BLT SM-36819553,99001191,000000P105000000059,1,26176000.00
5/26/2021,BOD,TIFFANY - TTP,18R T SMILE XLPDT1618-67513436,99001191,000000P105000000059,1,68599000.00
5/27/2021,PLATINUM,TIFFANY - TTP,PT CU DI 1 12 G VVS1-68800889,60084749,000000P105000000060,1,617390000.00
5/27/2021,PLATINUM,TIFFANY - TTP,18R PENDANT CHAIN 18IN-25508335,13000241,000000P105000000061,1,8666000.00
5/27/2021,PLATINUM,TIFFANY - TTP,18RDI MD ORNFLEURDLISKEY-60660069,13000241,000000P105000000061,1,145322000.00
